0.0	-5.653534365508148
0.0	-4.7432091452018925
0.0	-4.176510057780026
0.0	-4.172782975252277
0.0	-3.93738404647661
0.0	-3.9183805042709983
0.0	-3.918380504270993
0.0	-3.8950029304747007
0.0	-3.4974691506122926
0.0	-3.4912609686334255
0.0	-3.3372269465284363
0.0	-3.2997356463586054
0.0	-3.299735646358599
0.0	-3.255431143174211
0.0	-3.229992380121281
0.0	-3.2299923801212764
0.0	-3.196159678335485
0.0	-3.196159678335468
0.0	-3.120501864282004
0.0	-3.072858564510211
0.0	-3.066175840222876
0.0	-3.0183113442748866
0.0	-2.967898648342589
0.0	-2.9678986483425795
0.0	-2.910051974008537
0.0	-2.8824448641359
0.0	-2.882444864135899
0.0	-2.8688815196056603
0.0	-2.8688815196056585
0.0	-2.7919537042437876
0.0	-2.7919537042437796
0.0	-2.7430616792737212
0.0	-2.743061679273719
0.0	-2.7143920116416993
0.0	-2.714392011641694
0.0	-2.6929077094161666
0.0	-2.6652612028635843
0.0	-2.658930441687244
0.0	-2.6589304416872364
0.0	-2.649959302450322
0.0	-2.6499593024503167
0.0	-2.612267008861861
0.0	-2.6122670088618563
0.0	-2.605275255013606
0.0	-2.6052752550136016
0.0	-2.5921181869949144
0.0	-2.5921181869949144
0.0	-2.5653793574629606
0.0	-2.492675687328197
0.0	-2.4926756873281932
0.0	-2.452741364006764
0.0	-2.452741364006761
0.0	-2.4305445045658134
0.0	-2.43054450456581
0.0	-2.4105666416216285
0.0	-2.4105666416216263
0.0	-2.3948553822133
0.0	-2.3948553822132994
0.0	-2.394834844273459
0.0	-2.39483484427345
0.0	-2.3872010273760833
0.0	-2.3862825117465527
0.0	-2.3862825117465514
0.0	-2.362999396625078
0.0	-2.3629993966250775
0.0	-2.32967139950531
0.0	-2.3296713995053047
0.0	-2.295510403252007
0.0	-2.2955104032520057
0.0	-2.294583764832328
0.0	-2.2760074885546193
0.0	-2.2744804857733905
0.0	-2.2482476946721226
0.0	-2.220677857773705
0.0	-2.2206778577737016
0.0	-2.1710458213950847
0.0	-2.171045821395083
0.0	-2.1383549608924417
0.0	-2.138354960892441
0.0	-2.1346528630638346
0.0	-2.134652863063831
0.0	-2.0898529078267494
